Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 65000  Y 22000
X 78600  Y 12400
X 80500  Y 9500
X 86000  Y 8000
X 80500  Y 6500
X 86000  Y 5000
X 80500  Y 3500
X 86000  Y 2000
X 80500  Y 500
X 86000  Y -1000
X 80500  Y -2500
X 86000  Y -4000
X 80500  Y -5500
X 86000  Y -7000
X 80500  Y -8500
X 86000  Y -10000
X 80500  Y -11500
X 86000  Y -13000
X 80500  Y -14500
X 86000  Y -16000
X 80500  Y -17500
X 86000  Y -19000
X 80500  Y -20500
X 75500  Y -21000
X 64500  Y -21000
X 78000  Y -29500
X 65000  Y -35950
X 87800  Y -37800
X 65000  Y -39120
X 83454  Y -40000
X 85404  Y -46300
X 81551  Y -48198
X 70700  Y -50000
X 76000  Y -50000
X 76000  Y -53000
X 70700  Y -53000
X 82000  Y -53500
X 70500  Y -55500
X 70500  Y -58000
X 81551  Y -60797
X 87800  Y -62700
X 81500  Y -67500
X 83780  Y -69130
X 72000  Y -84000
X 63651  Y -96462
X 80155  Y -129112
X 69697  Y -144584
X 68173  Y -149235
X 98871  Y -125724
X 89026  Y -89007
X 102400  Y -82500
X 104500  Y -81000
X 104500  Y -77000
X 103300  Y -75500
X 98000  Y -73500
X 106000  Y -73000
X 110500  Y -72000
X 108647  Y -69000
X 96049  Y -69000
X 89750  Y -69000
X 102350  Y -68980
X 97951  Y -62751
X 94099  Y -62700
X 106697  Y -62700
X 96053  Y -58897
X 108651  Y -58897
X 89753  Y -58897
X 102352  Y -58897
X 108647  Y -50102
X 102348  Y -50102
X 89750  Y -50102
X 96049  Y -50102
X 97951  Y -43853
X 94099  Y -43802
X 106697  Y -43802
X 102352  Y -40000
X 108651  Y -40000
X 89753  Y -40000
X 96053  Y -40000
X 92520  Y -36120
X 107000  Y -33500
X 103470  Y -32730
X 107200  Y -30100
X 98000  Y -28900
X 110000  Y -26000
X 103500  Y -22500
X 92500  Y -22500
X 89750  Y 21000
X 96049  Y 21000
X 108647  Y 21000
X 102348  Y 21000
X 106930  Y 24650
X 110000  Y 24700
